Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
1850757341.70439219475,North Koroba Rural LLG,PG210516,Koroba/Kopiago District,PG2105,Hela Province,PG21,"85",40224.000000,North Koroba Rural,Koroba/Kopiago District,Hela
316938345.89208662510,North Waghi Rural LLG,PG220611,North Waghi District,PG2206,Jiwaka Province,PG22,"171",89238.059302,North Waghi Rural,North Waghi District,Jiwaka
438957161.38925743103,North Wosera Rural LLG,PG140521,Wosera Gawi District,PG1405,East Sepik Province,PG14,"37",27276.999999,North Wosera Rural,Wosera Gawi District,East Sepik
254420464.93161499500,Numbor Rural LLG,PG140624,Yangoru Saussia District,PG1406,East Sepik Province,PG14,"48",17112.000000,Numbor Rural,Yangoru Saussia District,East Sepik
3496738691.66532087326,Oksapmin Rural LLG,PG150309,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"25",31631.000000,Oksapmin Rural,Telefomin District,West Sepik (Sandaun)
3639061946.39825534821,Olsobip Rural LLG,PG010209,North Fly District,PG0102,Western Province,PG01,"34",6720.000000,Olsobip Rural LLG,North Fly District,Western
1709323618.80472660065,Onga/Waffa Rural LLG,PG120617,Markham District,PG1206,Morobe Province,PG12,"41",15970.999999,Onga/Waffa Rural,Markham District,Morobe
6284671630.21016597748,Oriomo-Bituri Rural LLG,PG010314,South Fly District,PG0103,Western Province,PG01,"66",15888.000000,Oriomo-Bituri Rural LLG,South Fly District,Western
1602044753.49001884460,Oro Bay Rural LLG,PG060101,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"128",41507.000001,Oro Bay Rural,Popondentta District,Northern (Oro)
1945259686.89920926094,Paiela/Hewa Rural LLG,PG080308,Lagaip/Pogera District,PG0803,Enga Province,PG08,"26",13699.000000,Paiela/Hewa Rural,Pogera-Paiela District,Enga
1010823020.34004938602,Palmai Rural LLG,PG150206,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,"53",23184.000000,Palmai Rural,Nuku District,West Sepik (Sandaun)
575060712.28101348877,Pilikambi Rural LLG,PG080315,Lagaip/Pogera District,PG0803,Enga Province,PG08,"49",31417.668383,Pilikambi Rural,Laigap District,Enga
558853948.05850350857,Pobuma LLG,PG160110,Manus District,PG1601,Manus Province,PG16,"19",8102.000000,Pobuma,Manus District,Manus
459558982.27166062593,Pomutu/Kurti/Andra LLG,PG160104,Manus District,PG1601,Manus Province,PG16,"19",8205.000000,Pomutu/Kurti/Andra,Manus District,Manus
443849372.19364595413,Popondetta Urban LLG,PG060104,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"92",42363.000000,Popondetta Urban,Popondentta District,Northern (Oro)
536995887.86304605007,Porgera Rural LLG,PG080309,Lagaip/Pogera District,PG0803,Enga Province,PG08,"42",81121.000000,Porgera Rural,Pogera-Paiela District,Enga
309045124.55660372972,Poroma Rural LLG,PG070726,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"246",94347.999999,Poroma Rural,Nipa/Kutubu District,Southern Highlands
11813227.65487883799,Rabaul Urban LLG,PG180417,Rabaul District,PG1804,East New Britain Province,PG18,"31",4960.000000,Rabaul Urban,Rabaul District,East New Britain
2177762583.21627187729,Rai Coast Rural LLG,PG130412,Rai Coast District,PG1304,Madang Province,PG13,"157",40048.599399,Rai Coast Rural,Rai Coast District,Madang
40271683.69912494719,Raluana Rural LLG,PG180209,Kokopo District,PG1802,East New Britain Province,PG18,"21",23654.999998,Raluana Rural,Kokopo District,East New Britain
131291547.02313095331,Rapatona LLG,PG160112,Manus District,PG1601,Manus Province,PG16,"18",4086.000000,Rapatona,Manus District,Manus
